method,confidence,test_days,expected_exceptions,actual_exceptions,kupiec_p_value,christoffersen_p_value,basel_zone_last_250d
historical,0.95,1003,50.15000000000004,48,0.7537978596897401,0.10032496728852552,n/a
historical,0.99,1003,10.030000000000008,10,0.99240021665912,0.08437754246778507,green
parametric,0.95,1003,50.15000000000004,45,0.4479859070994271,0.06015370625372097,n/a
parametric,0.99,1003,10.030000000000008,12,0.544240875185227,0.12980537934491115,green
monte_carlo,0.95,1003,50.15000000000004,45,0.4479859070994271,0.06015370625372097,n/a
monte_carlo,0.99,1003,10.030000000000008,12,0.544240875185227,0.12980537934491115,green
